id,apiId,model,promptTokens,completionTokens,totalTokens,cost,ip,openaiKeyId,createTime
1067171402,as-dppz4gy8dv,deepseek-r1-250528,539,4784,5323,0.04722,36.103.203.3,149014,1765718307000
1067167724,as-xnitisievk,deepseek-r1-250528,155,3115,3270,0.030276,36.103.203.3,149014,1765718184000
1067165675,as-0uzgivsc21,deepseek-r1-250528,518,1256,1774,0.0133008,36.103.203.2,149014,1765718109000
1066554572,as-n5q1earsbt,deepseek-r1-250528,147,362,509,0.003828,36.103.203.3,149014,1765697036000
1066554444,as-dxcac6gmnc,deepseek-r1-250528,534,1568,2102,0.0163344,36.103.203.2,149014,1765697026000
1066553690,as-df71fu5upw,deepseek-r1-250528,153,516,669,0.0053208,36.103.203.3,149014,1765696972000
1066553468,as-st4divt2y3,deepseek-r1-250528,494,1620,2114,0.0167376,36.103.203.2,149014,1765696958000
1066552814,as-6qs022a59p,deepseek-r1-250528,113,1265,1378,0.0124152,36.103.203.3,149014,1765696919000
1066552269,as-8qy346x3vc,deepseek-r1-250528,514,828,1342,0.0091824,36.103.203.2,149014,1765696888000
1066551866,as-x2ivjer3k6,deepseek-r1-250528,148,222,370,0.0024864,36.103.203.2,149014,1765696864000
1066551738,as-cjwi5kkdde,deepseek-r1-250528,522,2099,2621,0.0214032,36.103.203.3,149014,1765696856000
1066550519,as-0at1uvs1dp,deepseek-r1-250528,144,293,437,0.0031584,36.103.203.3,149014,1765696787000
1066550364,as-7cvmesg7y1,deepseek-r1-250528,19343,2635,21978,0.0717192,36.103.203.2,149014,1765696777000
1066504756,as-0sqhtwtc8h,deepseek-r1-250528,1306,3616,4922,0.037848,36.103.203.2,149014,1765694655000
1066502032,as-4e5pvtrb4x,deepseek-r1-250528,2764,2420,5184,0.0298656,36.103.203.2,149014,1765694522000
1066500589,as-jkm26kvzat,deepseek-r1-250528,454,4358,4812,0.0429264,36.103.203.3,149014,1765694463000
1066497563,as-kk6b3gphnr,deepseek-r1-250528,76,762,838,0.0074976,36.103.203.2,149014,1765694334000
1066496865,as-8t7g88ff92,deepseek-r1-250528,457,778,1235,0.0085656,36.103.203.3,149014,1765694310000
1066496324,as-3jbtkz2s6u,deepseek-r1-250528,75,1379,1454,0.0134184,36.103.203.3,149014,1765694291000
1066495438,as-4yyn1i6ryw,deepseek-r1-250528,469,1399,1868,0.014556,36.103.203.3,149014,1765694255000
1066494433,as-sxma6c8z19,deepseek-r1-250528,88,1719,1807,0.0167136,36.103.203.2,149014,1765694215000
1066493366,as-s5c10f29pn,deepseek-r1-250528,485,1655,2140,0.017052,36.103.203.2,149014,1765694167000
1066492414,as-fk95x21i0h,deepseek-r1-250528,90,497,587,0.0049872,36.103.203.3,149014,1765694126000
1066492071,as-puvc7xa6yv,deepseek-r1-250528,495,1086,1581,0.0116136,36.103.203.3,149014,1765694111000
1066491432,as-b74bimajpq,deepseek-r1-250528,129,293,422,0.0031224,36.103.203.2,149014,1765694083000
1066491217,as-8nc4un6whj,deepseek-r1-250528,475,1557,2032,0.0160872,36.103.203.3,149014,1765694073000
